code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz002045,2016-10-18,13.080000,13.490000,13.010000,13.470000,0.027460,11022540.000000,146902831.370000,5593266299.250000,5615696880.000000,0.026545,75.138944,2016-06-30,2016-08-25,120.213117,2.602294,16.431258,4.376929,13.470000
sz002046,2016-10-18,11.740000,12.000000,11.680000,11.980000,0.017842,4165741.000000,49351543.040000,4079980320.600000,4236241187.040000,0.012232,59.139629,2016-06-30,2016-08-17,-21.749234,9.613618,54.439203,3.216539,11.980000
sz002047,2016-10-18,11.600000,11.840000,11.550000,11.760000,0.013793,14829786.000000,173178324.970000,8025233727.840000,14854072875.600000,0.021731,37.588183,2016-06-30,2016-08-26,9.613310,0.502960,56.402878,1.357764,11.760000
sz002048,2016-10-18,23.630000,24.050000,23.400000,23.850000,0.015326,6748314.000000,160739286.870000,10984375914.750000,12641624503.650000,0.014652,146.980662,2016-06-30,2016-08-25,42.310490,1.331076,11.529988,2.821483,23.850000
sz002049,2016-10-18,36.950000,37.440000,36.810000,37.410000,0.012449,4261945.000000,158346904.240000,22313566879.139999,22701060182.880001,0.007145,164.078190,2016-06-30,2016-08-18,64.403506,17.922976,88.915403,7.591623,37.410000
sz002050,2016-10-18,10.720000,11.350000,10.660000,11.180000,0.052731,21968383.000000,243359464.110000,16964962854.840000,20140503245.200001,0.014477,89.553129,2016-06-30,2016-08-09,29.326052,3.269128,15.646517,4.106218,11.180000
sz002051,2016-10-18,20.950000,22.030000,20.910000,21.850000,0.045455,11341375.000000,244896673.120000,20109406013.799999,20271671368.000000,0.012323,90.427186,2016-06-30,2016-08-12,15.952363,2.068179,47.148335,3.283887,21.850000
sz002052,2016-10-18,11.510000,11.770000,11.430000,11.770000,0.022589,17990189.000000,208856987.940000,6562697673.840000,8779945598.379999,0.032265,80.391445,2016-06-30,2016-08-24,-661.050267,6.570405,20.173661,5.968560,11.770000
sz002054,2016-10-18,11.710000,12.270000,11.630000,12.240000,0.048843,15658297.000000,187985887.100000,3853292001.120000,5131385322.480000,0.049739,39.998649,2016-06-30,2016-08-27,33.402558,2.603266,58.658897,2.913592,12.240000
sz002056,2016-10-18,14.710000,15.130000,14.700000,15.060000,0.021017,12104344.000000,181534199.730000,12373565558.940001,12376308000.000000,0.014732,61.867681,2016-06-30,2016-08-26,22.225502,1.563341,8.597701,3.348304,15.060000
sz002057,2016-10-18,16.000000,16.340000,15.740000,16.320000,0.018727,12387491.000000,199655897.710000,3253908854.400000,3253908854.400000,0.062130,39.442424,2016-06-30,2016-08-22,196.792720,10.597342,123.761643,6.337891,16.320000
sz002058,2016-10-18,24.920000,25.350000,24.760000,25.330000,0.016861,2433082.000000,61303876.960000,3632783943.210000,3633546249.560000,0.016965,60.255910,2016-06-30,2016-08-27,-534.681471,33.662651,479.045314,20.157568,25.330000
